MASTER,オンゲキ,Opfer,"1,824",74,15.0,15,ジュエル180個消費
MASTER,オンゲキ,ω4,"2,500",170,15.0,15,ジュエル300個消費
MASTER,オンゲキ,脳天直撃,"2,238",140,15.1,15,None
MASTER,オンゲキ,Apollo,"3,390",200,15.4,15,None
MASTER,オンゲキ,LAMIA,"2,500",200,15.4,15,None
MASTER,オンゲキ,Magical Panic Adventure,"1,653",107,15.1,15,None
MASTER,オンゲキ,Op.I《fear-TITΛN-》,"2,691",337,15.2,15,None
MASTER,オンゲキ,YURUSHITE,"1,367",57,14.8,14+,ジュエル150個消費
MASTER,オンゲキ,Titania,"2,500",120,14.9,14+,ジュエル250個消費
MASTER,オンゲキ,Viyella’s Tears,"2,178",133,14.8,14+,ジュエル200個消費
LUNATIC,LUNATIC,緋蜂,"1,107",150,14.7,14+,ジュエル100個消費
MASTER,オンゲキ,A Man In The Mirror,"1,518",149,14.8,14+,None
MASTER,オンゲキ,Good bye，Merry-Go-Round.,"2,119",60,14.9,14+,第3章ジュエル200個消費
MASTER,チュウマイ,otorii INNOVATED -［i］3-,"1,613",93,14.7,14+,None
MASTER,オンゲキ,AstrøNotes.,"1,544",120,14.7,14+,None
MASTER,VARIETY,End Time,"1,219",129,14.7,14+,None
MASTER,オンゲキ,Singularity - technoplanet,"2,218",302,14.8,14+,None
MASTER,オンゲキ,FLUFFY FLASH,"1,625",145,14.7,14+,None
MASTER,オンゲキ,Falsum Atlantis.,"1,775",149,14.9,14+,第4章ジュエル?個消費
MASTER,オンゲキ,Don’t Fight The Music,"2,459",262,14.9,14+,第4章ジュエル200個消費
MASTER,オンゲキ,Viyella’s Scream,"2,048",200,14.9,14+,None
MASTER,チュウマイ,larva,"1,696",126,14.7,14+,None
MASTER,チュウマイ,QZKago Requiem,"1,260",148,14.8,14+,None
MASTER,オンゲキ,Adverse Gaff,"1,372",41,14.7,14+,None
MASTER,オンゲキ,Cult future,"1,712",149,14.9,14+,None
MASTER,VARIETY,Love ＆ Justice,"2,248",88,14.7,14+,None
LUNATIC,LUNATIC,macrocosmos,"2,870",57,14.9,14+,None
MASTER,チュウマイ,Xevel,"1,847",253,14.7,14+,None
MASTER,チュウマイ,TiamaT：F minor,"2,106",131,14.8,14+,CHUNITHMでプレイして解禁
MASTER,オンゲキ,エータ・ベータ・イータ,"1,956",245,14.7,14+,None
MASTER,VARIETY,Re：End of a Dream,"1,862",130,14.8,14+,None
MASTER,オンゲキ,SUPER AMBULANCE,"2,062",119,14.8,14+,None
MASTER,チュウマイ,Last Celebration,"2,716",69,14.7,14+,None
MASTER,VARIETY,MANIERA REMASTERED,"1,565",242,14.8,14+,None
MASTER,VARIETY,Shamshir -rough Pt.2-,"1,265",126,14.7,14+,None
MASTER,オンゲキ,Diamond Dust,"1,805",123,14.9,14+,None
MASTER,VARIETY,Crimson Phoenix,"1,468",140,14.7,14+,None
MASTER,オンゲキ,Final Flash Flight,None,None,14.8,14+,None
MASTER,VARIETY,FREEDOM DiVE,None,None,14.9,14+,None
MASTER,チュウマイ,Alea jacta est！,None,None,14.7,14+,None
MASTER,VARIETY,神威,"1,874",320,14.3,14,ジュエル60個消費
MASTER,オンゲキ,Everlasting Today,"1,456",38,14.0,14,ジュエル120個消費
MASTER,niconico,初音ミクの激唱,"1,275",139,14.2,14,None
LUNATIC,LUNATIC,初音ミクの激唱,"2,000",139,14.2,14,ジュエル100個消費
MASTER,チュウマイ,7thSense,"1,111",123,14.0,14,ジュエル75個消費
MASTER,チュウマイ,エンドマークに希望と涙を添えて,"1,740",206,14.2,14,ジュエル90個消費
MASTER,オンゲキ,Dazzle hop,"1,244",147,14.0,14,ジュエル120個消費
MASTER,VARIETY,GOODRAGE,"1,241",84,14.0,14,イベントジュエル 30個
MASTER,チュウマイ,怒槌,"1,584",153,14.5,14,ジュエル100個消費
MASTER,チュウマイ,混沌を越えし我らが神聖なる調律主を讃えよ,"1,572",270,14.3,14,ジュエル120個消費
MASTER,オンゲキ,MEGATON BLAST,"1,842",163,14.6,14,ジュエル60個消費
MASTER,オンゲキ,心　,"1,035",255,14.6,14,ジュエル45個消費
LUNATIC,LUNATIC,Calamity Fortune,997,96,14.1,14,None
MASTER,チュウマイ,Garakuta Doll Play,"1,192",90,14.2,14,ジュエル100個消費
MASTER,オンゲキ,Aenbharr,"1,452",119,14.5,14,ジュエル250個消費
MASTER,VARIETY,FREEDOM DiVE （tpz Overcute Remix）,"1,679",95,14.1,14,None
MASTER,オンゲキ,Desperado Waltz,"1,446",76,14.4,14,None
MASTER,オンゲキ,GEOMETRIC DANCE,"1,496",224,14.6,14,None
MASTER,東方Project,Imperishable Night 2006（2016 Refine）,"1,189",64,14.2,14,None
MASTER,チュウマイ,SILENT BLUE,"1,501",168,14.1,14,None
MASTER,チュウマイ,World Vanquisher,"1,892",468,14.6,14,None
MASTER,POPS＆ANIME,ジングルベル,"1,775",255,14.0,14,None
MASTER,オンゲキ,ヒトリボッチサテライト,"1,571",176,14.5,14,第3章ジュエル150個消費
MASTER,チュウマイ,folern,"1,310",74,14.3,14,None
